RECTYPE,LEA,ESTAB,URN,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE
1,213,4723,101154,VA,147,55,0.49,0.31,0.67,0.52,0.28,0.76
1,213,4809,139369,ACC,150,48.5,-0.04,-0.22,0.14,0.19,0.15,0.49
1,213,4673,137353,ACC,153,63,0.41,0.24,0.59,0.69,0.59,0.92
1,213,6319,101172,IND,,NA,NA,NA,NA,NA,NA,NA
1,213,6906,131262,AC,188,54.4,0.68,0.51,0.86,0.37,0.27,0.71
1,213,4687,138312,ACC,125,49.4,-0.36,-0.55,-0.16,0.34,0.16,0.59
1,213,6047,101162,IND,,NA,NA,NA,NA,NA,NA,NA
2,213,7042,101182,CYS,7,NE,SUPP,SUPP,SUPP,NE,NE,NE
2,213,6327,101173,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,213,7184,101184,CYS,8,NE,NE,NE,NE,NE,NE,NE
4,213,,,,1575,54.2,0.32,0.26,0.37,0.483,0.335,0.709
1,301,4703,101247,VA,181,54.2,0.31,0.15,0.47,0.33,0.21,0.7
1,301,4021,101241,CY,274,53.1,0.41,0.28,0.54,0.27,0.18,0.62
1,301,4704,136028,VC,206,48.6,0.36,0.2,0.52,0.49,0.34,0.61
1,301,4023,101243,CY,167,44.1,0.04,-0.14,0.23,0.18,0.07,0.44
1,301,4024,101244,CY,287,49.2,0.27,0.15,0.4,0.21,0.13,0.61
1,301,4005,140945,FUTC,90,36.4,-1.15,-1.37,-0.92,0,0,0.29
1,301,4003,140962,F,,,,,,,,
1,301,4006,142908,F,,,,,,,,
1,301,4029,133561,CY,223,51,0.2,0.06,0.35,0.2,0.14,0.65
1,301,6003,136746,IND,,NA,NA,NA,NA,NA,NA,NA
1,301,4001,139791,F,,,,,,,,
1,301,4027,101245,CY,275,51.5,0,-0.13,0.12,0.48,0.36,0.64
1,301,4028,141683,ACC,260,53.1,0.38,0.25,0.51,0.75,0.47,0.58
1,301,4004,141178,AC,231,46.6,-0.07,-0.22,0.08,0.33,0.13,0.61
2,301,6002,134388,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,301,7005,131102,CYS,16,0.3,-1.44,-1.98,-0.9,0,0,0
4,301,,,,2204,49.6,0.16,0.11,0.2,0.351,0.221,0.595
1,302,4001,139594,F,,,,,,,,
1,302,5406,136308,ACC,223,60.7,0.58,0.43,0.72,0.87,0.65,0.89
1,302,6119,131261,IND,,NA,NA,NA,NA,NA,NA,NA
1,302,6007,140492,IND,,NA,NA,NA,NA,NA,NA,NA
1,302,6092,101388,IND,,NA,NA,NA,NA,NA,NA,NA
1,302,5408,101365,VA,106,53.7,0.5,0.25,0.75,0.35,0.2,0.58
1,302,6101,101393,IND,,NA,NA,NA,NA,NA,NA,NA
1,302,4211,137388,ACC,132,53.4,0.31,0.11,0.5,0.38,0.24,0.73
1,302,4215,136418,ACC,179,58,0.79,0.64,0.95,0.41,0.35,0.78
1,302,4210,138685,ACC,175,47.8,0.16,-0.01,0.32,0.45,0.25,0.58
1,302,6098,101391,IND,,NA,NA,NA,NA,NA,NA,NA
1,302,4212,136658,ACC,210,54.1,0.05,-0.1,0.2,0.85,0.47,0.72
1,302,6118,135072,IND,,NA,NA,NA,NA,NA,NA,NA
