"Group UID","Group ID","Group Name","Companies House Number","Group Type (code)","Group Type","Closed Date","Group Status (code)","Group Status","Group Contact Street","Group Contact Locality","Group Contact Address 3","Group Contact Town","Group Contact County","Group Contact Postcode","Head of Group Title","Head of Group First Name","Head of Group Last Name"
"1258","","The Brigshaw Federation: A Co-operative Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1260","","Sir Thomas Wharton Community College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1261","","The da Vinci Community College Learning Foundation","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1265","","The Radclyffe Co-operative Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1266","","The Federation of Moorlands Infant and Junior School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1269","","Charters School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1270","","The Kings College of Arts Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1271","","The Golborne and Lowton Co-operative Learning Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1276","","The Swavesey Village College Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1277","","The Federation of Warren Junior School and Furze Infants School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Mr","Gary","Wilder"
"1278","","The Federation of Hibaldstow Primary School and Scawby Primary School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1281","","Blacon High School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1282","","Tong High School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1283","","The Bemrose Littleover Partnership Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1286","","The Upminster Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1287","","The Biddenham Campus Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1288","","The Sinfin Chellaston Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
